,case,date,day_of_week,time,premise_category,less_lethal_force_used_by_apd_prior_to_shooting,subject_weapon,number_of_officer_shooters,call_type_categories,officers_present_when_shots_fired,hits,location_1
1,"15-1860826
15-5029094
15-5030656 ",2015-07-05,Sun,4:54 AM,Business,No,rifle,1,shots fired,3,10.0,"{'latitude': '30.269158', 'longitude': '-97.739649', 'human_address': '{""address"": ""700 San Jacinto Blvd"", ""city"": """", ""state"": """", ""zip"": """"}'}"
2,"15-0230201
15-5003040
15-5003476",2015-01-23,Fri,3:45 AM,Parking Lot,No,gun,1,domestic disturbance,4,2.0,"{'latitude': '30.167208', 'longitude': '-97.788916', 'human_address': '{""address"": ""120 W Slaughter Ln"", ""city"": """", ""state"": """", ""zip"": """"}'}"
3,"15-1860670
15-5029092
15-5030645",2015-07-05,Sun,4:14 AM,Residence,Yes - Taser,pellet gun,3,suicidal subject,3,6.0,"{'latitude': '30.379781', 'longitude': '-97.70205', 'human_address': '{""address"": ""10607 Golden Quail Dr"", ""city"": """", ""state"": """", ""zip"": """"}'}"
4,"15-1922009
15-5030362 ",2015-07-12,Sun,12:51 PM,Yard/Courtyard,No,gun,1,suspicious person,2,2.0,"{'latitude': '30.246406', 'longitude': '-97.910421', 'human_address': '{""address"": ""9400 Claxton Dr (OOC - Travis County)"", ""city"": """", ""state"": """", ""zip"": """"}'}"
5,"15-1440098
15-5022158",2015-05-24,Sun,1:14 AM,Yard/Courtyard,No,gun,2,suspicious person,3,3.0,"{'latitude': '30.307201', 'longitude': '-97.669664', 'human_address': '{""address"": ""6409 Springdale Rd"", ""city"": """", ""state"": """", ""zip"": """"}'}"
6,"15-1450142
15-5022316
15-5022877",2015-05-25,Mon,6:13 AM,Yard/Courtyard,Yes - impact weapon,gun,1,suicidal subject,10,3.0,"{'latitude': '30.33259', 'longitude': '-97.720879', 'human_address': '{""address"": ""6505 Shirley Ave"", ""city"": """", ""state"": """", ""zip"": """"}'}"
0,"16-1660189
16-5024527",2016-06-14,Tue,6:00 AM,Street,No,knife (machete),1,suicidal subject,21,1.0,"{'human_address': '{""address"": ""6000 block Cougar Dr"", ""city"": """", ""state"": """", ""zip"": """"}'}"
1,"16-390552
16-5007698
16-6005558
",2016-02-08,Mon,10:26 AM,residence,no,none,1,suspicious person,1,2.0,"{'latitude': '30.391489', 'longitude': '-97.667084', 'human_address': '{""address"": ""12000 block Natures Bnd"", ""city"": """", ""state"": """", ""zip"": """"}'}"
2,"16-2900369
16-5046503
16-5042860",2016-10-16,Sun,3:54 AM,Residence,No,air pistol (BB gun),2,check welfare,5,5.0,"{'latitude': '30.197953', 'longitude': '-97.789496', 'human_address': '{""address"": ""744 W William Cannon Dr"", ""city"": """", ""state"": """", ""zip"": """"}'}"
3,"16-1131869
16-5031156
16-5016874",2016-04-22,Fri,10:20 PM,Parking Lot,No,knife,1,disturbance,1,1.0,"{'latitude': '30.221231', 'longitude': '-97.836546', 'human_address': '{""address"": ""6600 S MoPac Expy Svrd SB"", ""city"": """", ""state"": """", ""zip"": """"}'}"
4,"16-2581947
16-5040418
16-5038102",2016-09-15,Thu,12:02 AM,Parking Lot,Yes - Taser,handgun,2,suspicious person,4,5.0,"{'latitude': '30.228925', 'longitude': '-97.83392', 'human_address': '{""address"": ""4201 Monterey Oaks Blvd"", ""city"": """", ""state"": """", ""zip"": """"}'}"
5,"16-1050267
16-5015495",2016-04-14,Thu,5:56 AM,Residence,No,rifle,1,warrant,8,0.0,"{'latitude': '30.345194', 'longitude': '-97.717559', 'human_address': '{""address"": ""1002 Morrow St"", ""city"": """", ""state"": """", ""zip"": """"}'}"
6,"16-2492260
16-5036999
16-5036744",2016-09-05,Mon,9:03 AM,Parking Lot,Yes - impact weapon,rifle,2,domestic disturbance,14,4.0,"{'latitude': '30.398698', 'longitude': '-97.661704', 'human_address': '{""address"": ""12501 Tech Ridge Blvd"", ""city"": """", ""state"": """", ""zip"": """"}'}"
7,"16-940866
16-941306
16-5013826
16-5017173",2016-04-03,Sun,11:01 AM,Parking Lot,No,gun,1,disturbance,1,3.0,"{'latitude': '30.298878', 'longitude': '-82.978832', 'human_address': '{""address"": ""508 West Ave"", ""city"": """", ""state"": """", ""zip"": """"}'}"
8,"16-801294
16-5011754",2016-03-20,Sun,11:07 PM,Parking Lot,no,knife,1,other - aggravated assault,1,1.0,"{'latitude': '30.362494', 'longitude': '-97.684934', 'human_address': '{""address"": ""9811 N IH 35 SVRD NB"", ""city"": """", ""state"": """", ""zip"": """"}'}"
0,"17-140100
17-5001846
17-5020338",2017-01-14,Sat,2:03 AM,church,no,rifle and shotgun,1,disturbance,4,5.0,"{'latitude': '30.445259', 'longitude': '-97.805086', 'human_address': '{""address"": ""11512 OLSON DR"", ""city"": """", ""state"": """", ""zip"": """"}'}"
1,"17-1270282
17-5018795
17-5026492
17-1270300",2017-05-07,Sun,2:39 AM,street,no,handgun,1,shots fired,8,3.0,"{'latitude': '29.881245', 'longitude': '-97.667536', 'human_address': '{""address"": ""600 TRINITY ST"", ""city"": """", ""state"": """", ""zip"": """"}'}"
2,"17-5049986
17-3510568",2017-12-17,Sun,10:42 AM,residence,no,knife,1,disturbance,1,,"{'latitude': '30.379441', 'longitude': '-97.751594', 'human_address': '{""address"": ""4022 Greenhill Place"", ""city"": """", ""state"": """", ""zip"": """"}'}"
3,"17-1220770
17-5018080
17-5041807",2017-05-02,Tue,11:17 AM,street,no,handgun,1,disturbance,5,2.0,"{'latitude': '37.49396', 'longitude': '-92.294899', 'human_address': '{""address"": ""11300 block LONG WINTER DR"", ""city"": """", ""state"": """", ""zip"": """"}'}"
4,"17-5005154
17-370047",2017-02-06,Mon,12:41 AM,street,no,vehicle,1,traffic stop,3,0.0,"{'latitude': '30.268608', 'longitude': '-97.691009', 'human_address': '{""address"": ""1100 Marks Circle"", ""city"": """", ""state"": """", ""zip"": """"}'}"
5,"17-972006
17-5014510",2017-04-07,Fri,10:12 PM,residence,no,rifle,4,disturbance,9,9.0,"{'latitude': '30.28687', 'longitude': '-97.658896', 'human_address': '{""address"": ""6321 PARLIAMENT DR"", ""city"": """", ""state"": """", ""zip"": """"}'}"
6,"17-0531372
17-5015929
17-5007713",2017-02-22,Wed,6:16 PM,wooded area,no,knife,1,other - nature unknown,1,2.0,"{'latitude': '30.1955', 'longitude': '-97.810196', 'human_address': '{""address"": ""7600 MANCHACA RD"", ""city"": """", ""state"": """", ""zip"": """"}'}"
7,"17-5049741
17-3490320",2017-12-15,Fri,6:49 AM,residence,no,knife,1,other - stabbing,1,1.0,"{'latitude': '30.322115', 'longitude': '-97.740477', 'human_address': '{""address"": ""5007 Lynnwood St"", ""city"": """", ""state"": """", ""zip"": """"}'}"
