Incident_Occurred_Date,Incident_Location,City,State,Incident_Type,Allegation,Incident_Disposition,Citizen_Race,Citizen_Gender,Officer_Race,Officer_Gender,FID,Incident_ID
2021-09-14 12:00:00,W Michigan Ave / S Capitol Ave,Lansing,MI,Citizen complaint,Courtesy,Unfounded,Hispanic,Male,Hispanic ,Male,136,18935
2021-09-14 12:00:00,W Michigan Ave / S Capitol Ave,Lansing,MI,Citizen complaint,Courtesy,Unfounded,Hispanic,Male,White,Female,137,18935
2021-09-20 12:00:00,W Michigan Ave / S Capitol Ave,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Informational Only,Black,Male,White,Male,138,18949
2021-09-20 12:00:00,W Michigan Ave / S Capitol Ave,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Informational Only,Black,Male,White,Male,139,18949
2021-09-20 12:00:00,W Michigan Ave / S Capitol Ave,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Informational Only,Black,Male,White,Female,140,18949
2021-09-20 12:00:00,W Michigan Ave / S Capitol Ave,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Informational Only,Black,Male,White,Female,141,18949
2021-09-20 12:00:00,W Michigan Ave / S Capitol Ave,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Informational Only,Black,Male,Black,Male,142,18949
2021-09-20 12:00:00,W Michigan Ave / S Capitol Ave,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Informational Only,Black,Male,Black,Male,143,18949
2021-09-20 12:00:00,W Michigan Ave / S Capitol Ave,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Informational Only,Black,Male,Hispanic,Male,144,18949
2021-09-26 12:00:00,E Jolly Rd / S Cedar St,Lansing,MI,Citizen complaint,Unbecoming Conduct,Informational Only,Black,Male,White,Male,145,18959
2021-06-01 12:00:00,E Michigan Ave,Lansing,MI,Citizen complaint,Arrest; Search; and Seizure,Unfounded,White,Male,White,Male,146,20210024
2021-07-10 00:00:00,W Kalamazoo St / Huron St,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Partially Sustained,Unknown,Male,Black,Male,147,20210031
2021-07-10 12:00:00,W Kalamazoo St / Huron St,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Partially Sustained,Unknown,Male,White,Male,148,20210031
2021-10-15 12:00:00,New York Ave / Oak St.,Lansing,MI,Citizen complaint,Arrest; Search and Seizure,Informational Only,Black,Male,White,Male,149,20210414
2021-10-14 12:00:00,E Jolly Rd / S Cedar St,Lansing,MI,Citizen complaint,Courtesy,Informational Only,Unknown,Male,White,Male,150,20210415
2021-11-02 12:00:00,E Saginaw St / Marshall St,Lansing,MI,Citizen complaint,Unbecoming Conduct,Informational Only,White,Male,White ,Male,151,20210439
2021-11-02 12:00:00,E Saginaw St / Marshall St,Lansing,MI,Citizen complaint,Unbecoming Conduct,Informational Only,White,Male,White ,Male,152,20210439
